,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
577,BeatO,2015.0,New Delhi,Healthcare,ULTIMATE app to manage chronic conditions.,Gautam Chopra,W Health Ventures,$5000000,Pre-series B,,,,,,,,,
578,Earth Rhythm,2020.0,Gurugram,Cosmetics,A mission to make customers healthier and Earth a little greener.,Harini Sivakumar,Anicut Angel Fund,$1200000,Seed,,,,,,,,,
579,Fountain9,2019.0,Mumbai,Computer software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator",$1900000,Seed,,,,,,,,,
582,CanPe,2019.0,Bangalore,Computer software,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Arindam Choudhury,Axilor Ventures,$undisclosed,Seed,,,,,,,,,
584,Shiprocket,2012.0,New Delhi,Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital",$41000000,Series D1,,,,,,,,,
586,Teachmint,2020.0,Bangalore,EdTech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,$20000000,Pre-series B,,,,,,,,,
587,Vahak,2017.0,Bangalore,Transportation,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,"Vikas Chandrawat, Karan Shaha",RTP Global,$5000000,Pre-series A,,,,,,,,,
588,goSTOPS,2014.0,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures",$1000000,Pre-series A,,,,,,,,,
589,Codedamn,2020.0,New Delhi,Computer software,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul Mohan,Antler India,$undisclosed,Pre-seed,,,,,,,,,
590,Biocraft Innovation Technology,2019.0,Noida,Environmental service,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,"Vibha Mittal, Anubhav Mittal",JITO Angel Network,$undisclosed,Pre-seed,,,,,,,,,
593,Delhivery,2011.0,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",$270000000,Series H,,,,,,,,,
594,Avishkaar,2014.0,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,"Rajeev Gaba, Tarun Bhalla",Auxano,$600000,Pre-series A,,,,,,,,,
595,Jobsgaar,2020.0,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,$140000,Seed,,,,,,,,,
596,Almo,2020.0,Gurugram,D2C Fashion,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,$Undisclosed,Seed,,,,,,,,,
597,Breathe Well-being,2015.0,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",$1000000,Pre-series A,,,,,,,,,
598,GalaxEye,2020.0,Chennai,SpaceTech,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest,$Undisclosed,Pre-seed,,,,,,,,,
600,Urban Company,2014.0,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",$250000000,Series F,,,,,,,,,
601,MYBYK,2014.0,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,$1000000,Pre-series A,,,,,,,,,
602,Locus,2015.0,Bangalore,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",$50000000,Series C,,,,,,,,,
603,Crejo.Fun,2020.0,Bangalore,EdTech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",$3000000,Seed,,,,,,,,,
604,Bambinos,2020.0,Bangalore,EdTech,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",$500000,Seed,,,,,,,,,
606,Spardha,2016.0,Pune,EdTech,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,$400000,Pre-series A1,,,,,,,,,
609,Fable Fintech,2015.0,Mumbai,FinTech,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",Naushad Contractor,Paytm,$Undisclosed,Series A,,,,,,,,,
612,Fyllo,2019.0,Bangalore,AgriTech,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",$400000,Seed,,,,,,,,,
615,Swiflearn,2019.0,Gurugram,EdTech,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",$3000000,Pre-series A,,,,,,,,,
617,QuickSell,2017.0,Mumbai,E-commerce,B2B Mobile Commerce Platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",$2000000,Pre-series A,,,,,,,,,
618,Truemeds,2019.0,Mumbai,Heathcare,Truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",InfoEdge,$5000000,Series A,,,,,,,,,
621,F5,2018.0,New Delhi,Food & Beverages,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",$300000,Pre-series A,,,,,,,,,
625,Refyne,2020.0,Bangalore,FinTech,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global",$20000000,Series A,,,,,,,,,
626,Greenjoules,2018.0,Pune,Renewable Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,$4500000,Series A,,,,,,,,,
627,MentorKart,2018.0,New Delhi,Consulting,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",$150000,Seed,,,,,,,,,
628,Leverage Edu,2017.0,New Delhi,EdTech,AI-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",$2000000,Debt,,,,,,,,,
629,Kale Logistics,2010.0,Thane,Logistics,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,$5000000,Series A,,,,,,,,,
633,Pee Safe,2013.0,Gurugram,HealthCare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",$3000000,Pre-series B,,,,,,,,,
635,SimpliContract,2020.0,Bangalore,Software,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,$1800000,Seed,,,,,,,,,
636,Dropshop,2019.0,Bangalore,Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,$1000000,Pre-series A,,,,,,,,,
637,Jumbotail,2015.0,Bangalore,E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,$4000000,Debt,,,,,,,,,
640,Convosight,2019.0,New Delhi,SaaS startup,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,$9000000,Series A,,,,,,,,,
641,Junio,2020.0,New Delhi,FinTech,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",$600000,Seed,,,,,,,,,
642,Wherehouse.io,2020.0,New Delhi,Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,$Undisclosed,Seed,,,,,,,,,
643,Flexmoney,2015.0,Mumbai,FinTech,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Yezdi Lashkari,Pravega Ventures,$4800000,Series A,,,,,,,,,
644,Fampay,2019.0,Bangalore,FinTech,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",$38000000,Series A,,,,,,,,,
645,Apna,2019.0,Bangalore,Human Resources,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",$70000000,Series B,,,,,,,,,
648,BrowserStack,2011.0,Mumbai,SaaS startup,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,$200000000,Series B,,,,,,,,,
649,Vital,2018.0,New Delhi,Insuretech,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinC Invest,$3000000,Pre-series A,,,,,,,,,
652,Imagimake,2011.0,Mumbai,Innovation management,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",$500000,Pre-series A,,,,,,,,,
653,MSMEx,2019.0,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",$1000000,Pre-series A,,,,,,,,,
654,RenewBuy,2015.0,Gurugram,Insuretech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management",$45000000,Series C,,,,,,,,,
655,saarthi.ai,2017.0,Bangalore,AI startup,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,$Undisclosed,Seed,,,,,,,,,
656,Kutumb,2020.0,Bangalore,Community platform,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",$26000000,Series A,,,,,,,,,
657,Superplum,2019.0,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,$3800000,Pre-series A,,,,,,,,,
658,Upside AI,2017.0,Mumbai,FinTech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",Endiya Partners,$1200000,Seed,,,,,,,,,
661,Skillmatics,2016.0,Mumbai,EdTech,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Dhvanil Sheth,Sequoia Capital India,$6000000,Series A,,,,,,,,,
662,Bimaplan,2020.0,Bangalore,Insuretech,Affordable insurance for the next billion Indians,Vikul Goyal,"Roshan Abbas, Ritesh Malik",$2500000,Pre-series A,,,,,,,,,
663,Bueno Finance,2019.0,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",$3000000,Seed,,,,,,,,,
664,CityMall,2019.0,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures",$22000000,Series B,,,,,,,,,
667,The Switch Fix,2019.0,Gurugram,HealthCare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9unicorns",$Undisclosed,Seed,,,,,,,,,
669,DigiSparsh,2020.0,Mumbai,FinTech,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh Soni, Akhilesh Gandhi",GoAhead Ventures,$Undisclosed,Seed,,,,,,,,,
670,CoffeeMug.ai,2020.0,New Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",$620000,Pre-seed,,,,,,,,,
671,Pathfndr.io,2015.0,Bangalore,SaaS startup,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Varun Gupta,Arali Ventures,$Undisclosed,Pre-series A,,,,,,,,,
673,Kazam,2020.0,Bangalore,EV startup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops","Akshay Shekhar, Vaibhav Tyagi",Inflection Point Ventures,$900000,Seed,,,,,,,,,
675,BimaPe,2020.0,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',Rahul Mathur,"iSeed, Titan Capital",$500000,Pre-seed,,,,,,,,,
677,Saarthi Pedagogy,2015.0,Ahmadabad,EdTech,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Pedagogy,Sushil Agarwal,"JITO Angel Network, LetsVenture",$1000000,,,,,,,,,
678,Synapsica,2017.0,New Delhi,HealthCare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan","IvyCap Ventures, Endiya Partners",$4000000,Series A,,,,,,,,,
679,Kwik Foods,2020.0,Gurugram,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,"Prabhleen Kaur, Harshal Patel",9Unicorns,$Undisclosed,Seed,,,,,,,,,
681,GoMechanic,2016.0,Gurugram,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",Kushal Karwa,"Tiger Global, Sequoia",$42000000,Series C,,,,,,,,,
684,Green Cure,2015.0,New Delhi,HealthCare,World's first company to combine German Engineering with Indian Ayurveda in health products,Sanchit Garg,Venture Catalysts,$Undisclosed,Pre-series A,,,,,,,,,
685,Classplus,2017.0,Noida,EdTech,Classplus was born out of an urge to redefine classroom engagement in this country.,"Mukul Rustagi, Bhaswat Agarwal",Tiger Global,$65000000,Series C,,,,,,,,,
686,WINDO,2020.0,Hyderabad,E-commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,"Silus Reddy Chintapalli, Rakesh Vaddadi",Unicorn India Ventures,$500000,Seed,,,,,,,,,
687,ApnaKlub,2020.0,Bangalore,E-commerce,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,"Shruti, Manish Kumar","Blume Ventures, Whiteboard Capital",$Undisclosed,Pre-series A,,,,,,,,,
691,GoBolt,2015.0,Gurugram,Logistics,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Naitik Baghla, Parag Aggarwal, Sumit Sharma","Paragon Partners, Aavishkaar Capital",$20000000,Series B,,,,,,,,,
692,Loco,2018.0,Bangalore,Gaming,Loco is India's leading live game streaming app.,"Anirudh Pandita, Ashwin Suresh","Krafton, Lumikai",$9000000,Seed,,,,,,,,,
693,Auric,2017.0,New Delhi,HealthCare,Contemporary Beauty & Wellness Brand Based on Ayurveda,Deepak Agarwal,Venture Catalysts,$2000000,Pre-series A,,,,,,,,,
696,Humit,2020.0,Bangalore,Music,Humit is a social networking app for music sharing and discovery.,"Rohit Ganapathy, Prithvi Sankar, Ishaan Negi",Antler India,$Undisclosed,Pre-seed,,,,,,,,,
697,Airblack,2019.0,Gurugram,IT startup,Airblack is on a mission to help people convert their passion to a livelihood.,"Videt Jaiswal, Vaibhav Raj Gupta","Edge Ventures, Elevation Capital",$5200000,Series A,,,,,,,,,
699,Intervue,2021.0,New Delhi,SaaS startup,World's fastest collaborative environment to take tech interviews.,"Rahul Arora, Pushpender Singh Rautela","Titan Capital, Kunal Shah",$Undisclosed,Seed,,,,,,,,,
700,Nestroots,2016.0,Gurugram,Fashion,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",Chhavi Singh,We Founder Circle,$100000,Seed,,,,,,,,,
